cost,displays,clicks,post_click_conversions,post_click_sales_amount,revenue
-0.22564575121919633,-0.3083672164645131,-0.1975697300660282,-0.17191214141524733,-0.15847872422521075,-0.16745901793665638
-0.010350649926661215,-0.052547806109667194,-0.10406263451552858,-0.1436813811284838,-0.10637152575249251,-0.14082489706879697
-0.24084884719755,-0.334752992678993,-0.21226370222396385,-0.19073264827308967,-0.19549558544730727,-0.17473588773671594
-0.19900625052817014,-0.28002862032366027,-0.19489809876458536,-0.15779676127186557,-0.1771139230706224,-0.16574976162011157
-0.24478705155063527,-0.34281405167739265,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.1857995121052069
-0.22048276751118726,-0.2976948284948009,-0.209592070922521,-0.1860275215586291,-0.1830603261904913,-0.1706371504175089
-0.21062736164266235,-0.31288595094530613,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.18511724163055976
-0.24400424822863728,-0.3434952679307785,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.20926405248637378,-0.2517354385996999,-0.1454729196878927,-0.1766172681297079,-0.18731673860367545,-0.0822007809623849
-0.24490579138037652,-0.3449939436882275,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.23319452595071036,-0.3319827132485571,-0.1975697300660282,-0.19073264827308967,-0.19549558544730727,-0.1769698888111228
-0.23200712765329773,-0.035017841189203765,-0.17085341705159973,-0.19073264827308967,-0.19549558544730727,-0.16512068164723603
-0.2268265528594011,-0.31386236090849257,-0.17085341705159973,-0.19073264827308967,-0.19549558544730727,-0.16608117936191916
-0.05698461861467464,-0.10858919655487931,0.16710794258092032,-0.044873720124811486,-0.06542020988324566,0.14002913543932263
-0.24350510116657678,-0.33282287996106635,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2351889153132164,-0.336138132394211,-0.20558462397035673,-0.19073264827308967,-0.19549558544730727,-0.17396667124955756
-0.23905675532275128,-0.20688870191846245,-0.1922264674631425,-0.19073264827308967,-0.19549558544730727,-0.1746601935611179
-0.229390453627518,-0.3023952206431635,-0.20692043962107817,-0.19073264827308967,-0.19549558544730727,-0.1750979923064687
-0.24014080599057427,-0.2781893364395184,-0.1975697300660282,-0.19073264827308967,-0.19549558544730727,-0.17681236309433765
-0.22853068930476184,-0.24801145641452368,-0.20424880831963532,-0.19073264827308967,-0.19549558544730727,-0.1795752005036659
-0.1972889207683937,0.7465415663204218,-0.05463745543883592,-0.19073264827308967,-0.19549558544730727,-0.11823427722984334
4.8328579010462045,3.191994379933517,1.2691558544260946,2.1994717226728886,2.1464224536444143,1.8999565651813999
-0.19073404238952876,-0.21790169801486758,-0.14814455098933554,-0.1813223948441685,-0.18923207482428453,-0.12615250173395653
-0.22108526220283736,-0.31847192422307036,-0.20157717701819247,-0.19073264827308967,-0.19549558544730727,-0.1786770993391379
-0.24450119640496185,-0.345289137398028,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2450795033535165,-0.345402673440259,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.22883633442205878,0.23944418729996916,-0.1508161822907784,-0.19073264827308967,-0.19549558544730727,-0.15737225759108597
-0.2130989092098694,-0.2852285710578392,-0.20291299266891388,-0.16250188798632614,-0.17456548376167813,-0.17597870426849446
0.1348241841321856,0.12034487899967033,0.00013098624074243316,-0.0401685934103509,0.05359770698890925,0.11995790417466572
-0.23447867522050478,-0.08406541143298746,-0.17753249530520684,-0.19073264827308967,-0.19549558544730727,-0.16841235539148566
-0.24323024044958313,-0.3437904616405791,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.1839879663621783
-0.2327723398894081,-0.17811866881713193,-0.20024136136747103,-0.19073264827308967,-0.19549558544730727,-0.17793652389139497
-0.1525196071844653,-0.13358983305414127,-0.18287575790809255,-0.1766172681297079,-0.15766934379623715,-0.13276346736760639
-0.23740099436358145,-0.3137261176578154,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.18509576085099816
-0.24251780147113552,-0.3420192993817758,-0.21760696482684955,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.18319186431522255,-0.23475044668194514,-0.17352504835304258,-0.1813223948441685,-0.19371808871328766,-0.16666729777567152
-0.2329416540910762,-0.29724068432587697,-0.20692043962107817,-0.1860275215586291,-0.18934001713711374,-0.1806144610767416
-0.24507730446778056,-0.3455843311078286,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2351713242273288,-0.33282287996106635,-0.21627114917612814,-0.19073264827308967,-0.19549558544730727,-0.18042113406068716
-0.24482443260814638,-0.34524372298113565,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.13840935741687843,0.07438548910456931,-0.13345057883139988,-0.17191214141524733,4.795091994485222,-0.15016289881250572
-0.2419416934083168,-0.32750939318465644,-0.2149353335254067,-0.19073264827308967,-0.19549558544730727,-0.17890622765446168
-0.24463312954911878,-0.3449712364797813,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24476726157901169,-0.3454707950655976,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.23155855496316405,-0.2782347508564108,-0.209592070922521,-0.19073264827308967,-0.19549558544730727,-0.17102278155535294
-0.2410775313140887,-0.3282814382718271,-0.21894278047757096,-0.19073264827308967,-0.19549558544730727,-0.18566142137945374
-0.24399105491422157,-0.3408612317510198,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2312529098458671,-0.3157243520010806,-0.1975697300660282,-0.19073264827308967,-0.19549558544730727,-0.17687475964449278
-0.24478265377916333,-0.3442900202263954,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.2429487830753816,-0.3449712364797813,-0.2202785961282924,-0.19073264827308967,-0.19549558544730727,-0.18620764691687738
-0.24004845278966444,-0.19757874645552204,-0.20424880831963532,-0.19073264827308967,-0.19549558544730727,-0.17957929208072526
-0.21907328175444374,-0.23713470356879573,-0.1628385231472712,-0.1766172681297079,-0.19214365120624377,-0.16852180507782336
-0.17635113079068415,0.7254011552570131,0.006810064494349549,-0.1860275215586291,-0.1949258904399032,-0.09225276290295076
-0.15359266342360858,-0.09344348852126647,-0.1628385231472712,-0.03075833998142973,-0.02229874645319452,-0.14529187632334578
